,clk_period_design,wns,sim_clk,decoders,decoders_per_subunit,C,vth,addon,tech,design_name,power_folder,is_nominal_gf22,is_ssg_asap7,power_type,power_clock_network,power_register,power_combinational,power_net_switching,power_cell_internal,power_cell_leakage,power_total,power_lut_int_power,power_lut_switch_power,power_lut_leak_power,power_lut_total_power,power_fp_adder_int_power,power_fp_adder_switch_power,power_fp_adder_leak_power,power_fp_adder_total_power,power_encoder_4_int_power,power_encoder_4_switch_power,power_encoder_4_leak_power,power_encoder_4_total_power,power_encoder_int_power,power_encoder_switch_power,power_encoder_leak_power,power_encoder_total_power,power_decoder_int_power,power_decoder_switch_power,power_decoder_leak_power,power_decoder_total_power,instance_count,area,area_lut,instance_count_lut,area_fp_adder,instance_count_fp_adder,area_encoder_4,instance_count_encoder_4,area_encoder,instance_count_encoder,area_decoder,instance_count_decoder,utilization
90,3000,380,3380,8,4,64,L,,22,22_8_4_64_3000_TT_L,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_64_3000_TT_L-3380-execute,False,False,execute,1.024e-03,2.006e-04,4.257e-03,3.715e-03,1.663e-03,1.037e-04,5.482e-03,9.84e-05,0.000282,1.11e-05,0.000392,2.4e-05,4.67e-05,3.63e-07,7.1e-05,0.000279,0.000491,1.15e-05,0.000782,6.57e-05,0.000117,2.86e-06,0.000186,0.000157,0.000344,1.15e-05,0.000513,338923,224045.153,23966.592,35758.0,635.515,1641.0,24953.477,36831.0,6231.547,9198.0,24798.392,37588.0,0.7137600000000001
91,3000,380,3380,8,4,64,L,,22,22_8_4_64_3000_TT_L,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_64_3000_TT_L-3380-write,False,False,write,1.310e-03,9.965e-05,1.460e-03,1.822e-03,9.433e-04,1.043e-04,2.870e-03,3.5e-05,0.000158,1.16e-05,0.000204,0.0,0.0,3.71e-07,3.71e-07,0.000199,9.57e-05,1.1e-05,0.000306,4.44e-05,9.97e-06,2.75e-06,5.72e-05,7.75e-05,0.000162,1.2e-05,0.000252,338923,224045.153,23966.592,35758.0,635.515,1641.0,24953.477,36831.0,6231.547,9198.0,24798.392,37588.0,0.7137600000000001
92,3000,6,3006,8,4,64,L,nominal,22,22_8_4_64_3000_TT_nominal_L,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_64_3000_TT_nominal_L-3006-execute,True,False,execute,1.731e-03,3.349e-04,7.089e-03,6.240e-03,2.712e-03,2.028e-04,9.155e-03,0.000174,0.000497,2.2e-05,0.000693,2.55e-05,5.35e-05,4e-07,7.95e-05,0.000485,0.000899,2.27e-05,0.00141,0.000111,0.000201,5.62e-06,0.000317,0.000254,0.000561,2.25e-05,0.000837,339011,221915.633,23953.413,36007.0,447.217,1444.0,24876.467,36736.0,6201.462,9166.0,24580.342,37638.0,0.71801
93,3000,6,3006,8,4,64,L,nominal,22,22_8_4_64_3000_TT_nominal_L,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_64_3000_TT_nominal_L-3006-write,True,False,write,2.199e-03,2.031e-04,2.568e-03,3.189e-03,1.575e-03,2.063e-04,4.970e-03,5.81e-05,0.000282,2.34e-05,0.000364,0.0,0.0,3.92e-07,3.92e-07,0.000349,0.000198,2.19e-05,0.000568,7.67e-05,1.73e-05,5.42e-06,9.94e-05,0.000126,0.000289,2.39e-05,0.000439,339011,221915.633,23953.413,36007.0,447.217,1444.0,24876.467,36736.0,6201.462,9166.0,24580.342,37638.0,0.71801
94,3000,206,3206,8,4,64,L,nominal,22,22_8_4_64_3000_TT_nominal_L,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_64_3000_TT_nominal_L-3206-execute,True,False,execute,1.624e-03,3.237e-04,6.649e-03,5.851e-03,2.543e-03,2.028e-04,8.597e-03,0.000163,0.000466,2.2e-05,0.000652,2.4e-05,5.02e-05,4e-07,7.45e-05,0.000454,0.000843,2.27e-05,0.00132,0.000104,0.000188,5.62e-06,0.000298,0.000238,0.000526,2.25e-05,0.000786,339011,221915.633,23953.413,36007.0,447.217,1444.0,24876.467,36736.0,6201.462,9166.0,24580.342,37638.0,0.71801
95,3000,206,3206,8,4,64,L,nominal,22,22_8_4_64_3000_TT_nominal_L,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_64_3000_TT_nominal_L-3206-write,True,False,write,2.063e-03,2.008e-04,2.410e-03,2.990e-03,1.477e-03,2.063e-04,4.673e-03,5.45e-05,0.000265,2.34e-05,0.000343,0.0,0.0,3.92e-07,3.92e-07,0.000327,0.000186,2.19e-05,0.000534,7.19e-05,1.62e-05,5.42e-06,9.35e-05,0.000118,0.000271,2.39e-05,0.000413,339011,221915.633,23953.413,36007.0,447.217,1444.0,24876.467,36736.0,6201.462,9166.0,24580.342,37638.0,0.71801
96,1400,0,1400,8,4,16,SL,,7,7_8_4_16_1400_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_1400_TT_SL-1400-execute,False,False,execute,2.455e-03,1.071e-03,0.0173,9.254e-03,9.309e-03,2.241e-03,0.0208,,,,,,,,,,,,,,,,,,,,,149400,20593.5801,,,,,,,,,,,0.4476
97,1400,0,1400,8,4,16,SL,,7,7_8_4_16_1400_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_1400_TT_SL-1400-write,False,False,write,2.736e-03,8.200e-04,2.630e-03,1.423e-03,2.556e-03,2.208e-03,6.186e-03,,,,,,,,,,,,,,,,,,,,,149400,20593.5801,,,,,,,,,,,0.4476
98,1400,200,1600,8,4,16,SL,,7,7_8_4_16_1400_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_1400_TT_SL-1600-execute,False,False,execute,2.179e-03,1.026e-03,0.0153,8.097e-03,8.145e-03,2.241e-03,0.0185,,,,,,,,,,,,,,,,,,,,,149400,20593.5801,,,,,,,,,,,0.4476
99,1400,200,1600,8,4,16,SL,,7,7_8_4_16_1400_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/7_8_4_16_1400_TT_SL-1600-write,False,False,write,2.424e-03,8.102e-04,2.454e-03,1.245e-03,2.236e-03,2.208e-03,5.689e-03,,,,,,,,,,,,,,,,,,,,,149400,20593.5801,,,,,,,,,,,0.4476
